year,player_id,name_full,name_last,name_first,name_mneumonic,class,position,jersey_number,team_id
2021,2623244,"gibson, jaylin",gibson,jaylin,jaylin gibson,Fr,G,3,450
2021,2623247,"cordilia, jedy",cordilia,jedy,jedy cordilia,Fr,F,12,450
2021,2623248,"omari, bankeys",omari,bankeys,bankeys omari,Fr,G,15,450
2021,2623254,"massie, johnathan",massie,johnathan,johnathan massie,Fr,G,2,402
2021,2623255,"rawls, caleb",rawls,caleb,caleb rawls,Fr,F,14,402
2021,2623275,"allen, kj",allen,kj,kj allen,So,F,21,700
2021,2623277,"silva, isa",silva,isa,isa silva,Fr,G,1,674
2021,2623278,"moss, jarvis",moss,jarvis,jarvis moss,Fr,G,3,674
2021,2623279,"raynaud, maxime",raynaud,maxime,maxime raynaud,Fr,F,42,674
2021,2623280,"ingram, harrison",ingram,harrison,harrison ingram,Fr,F,55,674
2021,2623281,"burgin, aj",burgin,aj,aj burgin,Fr,G,0,294
2021,2623286,"tamba, pablo",tamba,pablo,pablo tamba,Fr,G,24,294
2021,2623288,"stormark, louis",stormark,louis,louis stormark,Fr,F,44,294
2021,2623291,"harris, mannie",harris,mannie,mannie harris,Fr,G,5,253
2021,2623293,"stocks, donovan",stocks,donovan,donovan stocks,Fr,G,14,253
2021,2623295,"harrison, ahmad",harrison,ahmad,ahmad harrison,Fr,G,50,236
2021,2623299,"english, trae",english,trae,trae english,Fr,G,0,402
2021,2623300,"passmore, trevor",passmore,trevor,trevor passmore,Fr,G,11,402
2021,2623302,"randolph, marcus",randolph,marcus,marcus randolph,Fr,G,11,575
2021,2623305,"lucas, jonathan",lucas,jonathan,jonathan lucas,Fr,F,23,402
2021,2623308,"charlton, antrell",charlton,antrell,antrell charlton,So,G,24,236
2021,2623310,"kalle, sekou",kalle,sekou,sekou kalle,Fr,F,23,5
2021,2623315,"wilson, evan",wilson,evan,evan wilson,Fr,G,20,5
2021,2623319,"novitskyi, rostyslav",novitskyi,rostyslav,rostyslav novitskyi,So,C,15,236
2021,2623326,"ruffin, niko",ruffin,niko,niko ruffin,Fr,G,23,688
2021,2623328,"swider, cole",swider,cole,cole swider,Sr,F,21,688
2021,2623335,"roper ii, julian",roper ii,julian,julian roper ii,Fr,G,5,509
2021,2623337,"podziemski, brandin",podziemski,brandin,brandin podziemski,Fr,G,0,301
2021,2623338,"goode, luke",goode,luke,luke goode,Fr,G,10,301
2021,2623340,"melendez, rj",melendez,rj,rj melendez,Fr,G,15,301
